precision,method,bandwidth_gb_per_sec,peak_tflops,r_squared,num_samples,success
bf16,l2,577.3257850949235,231.85957059106795,0.7915124444436894,1876,True
bf16,huber,630.1538403440057,238.90958911627263,0.7751664101898375,1876,True
bf16,irls,587.5529404307838,233.80079472051787,0.7907164067543148,1876,True
fp16,l2,583.8263616138452,239.48060633743415,0.8431602214212268,1888,True
fp16,huber,620.2000152060205,247.23060306216766,0.8324791723738985,1888,True
fp16,irls,440.4321899283402,195.15505287426305,0.6122143029694079,1888,True
fp32,l2,156.84980407432118,17.727512917650532,0.8468613103443621,1663,True
fp32,huber,130.22338436257672,18.159961718241586,0.8227481855554728,1663,True
fp32,irls,134.62977003190534,18.00057305828279,0.8297131806812994,1663,True
