src,dst,num_samples,latency_us_linear_unconstr,bandwidth_gbps_linear_unconstr,r_squared_linear_unconstr,latency_us_linear_constr,bandwidth_gbps_linear_constr,r_squared_linear_constr,latency_us_huber_unconstr,bandwidth_gbps_huber_unconstr,r_squared_huber_unconstr,latency_us_huber_constr,bandwidth_gbps_huber_constr,r_squared_huber_constr,latency_us_irls_unconstr,bandwidth_gbps_irls_unconstr,r_squared_irls_unconstr,latency_us_irls_constr,bandwidth_gbps_irls_constr,r_squared_irls_constr
0,1,150,-15.12485683457544,259.1291660073841,0.9999807471237367,0.0010000000000006516,259.23864319251663,0.9999792200751979,3.5149529306938327e-15,259.1433085999427,0.9999790671989084,nan,nan,nan,3.9638866286846023e-16,259.1959968514683,0.999979189663267,0.0010000000000006516,259.23864319251663,0.9999792200751979
0,2,150,8.108914790660492,23.28005002887381,0.9999964638195091,8.108914790660492,23.28005002887381,0.9999964638195095,nan,nan,nan,nan,nan,nan,9.100937061450596e-15,23.282860098864884,0.9999964377573501,0.001,23.282860098864877,0.9999964377590248
0,3,150,1.1107946545744198,22.318737790832163,0.9999909669335231,1.1107944002248686,22.31873779081852,0.9999909669335229,1.4471334790956931e-08,22.319761012440406,0.999990964207541,nan,nan,nan,5.416143792147871e-15,22.319936416270636,0.9999909632743265,0.001,22.3199364162734,0.9999909632747433
1,0,150,-15.744361736187784,260.99901674200606,0.9999802620330706,0.001000000000000683,261.11463071360276,0.9999785833717129,3.5042606111529432e-15,261.11463895843167,0.9999785835849282,nan,nan,nan,3.9225959540497714e-16,261.09676388140286,0.9999785782922573,0.001000000000000683,261.11463071360276,0.9999785833717129
1,2,150,4.3190297191395075,22.66623045230862,0.9999950812082411,4.3190297191395075,22.66623045230862,0.9999950812082419,1.3553352100985098e-08,22.67661229835639,0.9999948318804167,4.326837255068686,22.67847971969696,0.9999947509200426,1.0266979635826832e-14,22.66868555047235,0.9999950642623396,0.001,22.668685550472357,0.999995064263438
1,3,150,10.701135001159855,23.234352491658985,0.9999967996342654,10.701135001159855,23.234352491658985,0.9999967996342664,nan,nan,nan,10.701135001159855,23.234352491658985,0.9999967996342664,4.868382786158484e-15,23.233546119190088,0.9999967934184634,0.001,23.233546119190088,0.9999967934195669
2,0,150,-0.4883967617643066,23.24075926530503,0.999990045205875,0.001000000000000002,23.240787745951803,0.999990045193016,nan,nan,nan,nan,nan,nan,4.982296516651763e-15,23.24162838045736,0.999990043711678,0.001000000000000002,23.240787745951803,0.999990045193016
2,1,150,7.421241929572716,22.574286236133986,0.9999976824794647,7.421241635052707,22.574286236117814,0.999997682479465,1.4966204140386144e-08,22.569215473823093,0.9999976313501551,nan,nan,nan,6.995282545651155e-15,22.57307851214933,0.9999976782665975,0.001,22.573078512158723,0.999997678267154
2,3,150,-18.57682002601723,260.75957621599684,0.999974719718756,0.0010000000000008051,260.89574878161955,0.9999723870788871,8.194172215742746e-14,260.8246200651892,0.9999723032345922,nan,nan,nan,3.91742748627945e-16,260.8339183094334,0.9999723237906119,0.0010000000000008051,260.89574878161955,0.9999723870788871
3,0,150,7.5873656598851085,22.642475645664554,0.9999982475075115,7.5873656598851085,22.642475645664554,0.9999982475075115,1.484238821050138e-08,22.656002868983613,0.9999978155298956,nan,nan,nan,8.915544509280206e-15,22.64310271193295,0.9999982421567851,0.001,22.643102711932958,0.9999982421578136
3,1,150,12.014092423967668,23.34952907367616,0.9999982953202151,12.014091767697908,23.349529073637598,0.9999982953202156,nan,nan,nan,nan,nan,nan,6.8320183184223086e-15,23.351475339134563,0.9999982728942313,0.001,23.351475339133263,0.9999982728961804
3,2,150,-17.693094467631454,260.85244970164536,0.999973809772199,0.0010000000000007672,260.9822338958822,0.9999716922704112,3.501857879734067e-15,260.880559119905,0.9999715207306119,nan,nan,nan,3.929213102894291e-16,260.9287333227562,0.9999716449714109,0.0010000000000007672,260.9822338958822,0.9999716922704112
