src,dst,latency_us_linear,bandwidth_gbps_linear,r_squared_linear,latency_us_huber,bandwidth_gbps_huber,r_squared_huber,latency_us_irls,bandwidth_gbps_irls,r_squared_irls,num_samples
0,1,24.344179088264355,4.618211673577103,0.9998735444525597,8.456809227474236e-08,4.623241521711409,0.9998682301327323,3.008636266960349e-13,4.619883565749054,0.9998726124757729,50
0,2,0.001,4.954304307903015,0.9998080465512159,2.655683324387257e-07,4.9625124313237965,0.999801683442572,2.6333419030112617e-13,4.9620087933025765,0.9998013784212586,50
0,3,64.67768255749252,4.957799251293528,0.9999414840381183,6.076048549230757e-07,4.9567118847839025,0.9999410854046764,2.8056748549324984e-13,4.956242932873968,0.9999411885056457,50
1,0,0.001,4.49387853545781,0.9999646273191112,2.5046202511750153e-13,4.500495039413745,0.999961752565834,2.960248329406901e-13,4.499872448641317,0.9999617272055841,50
1,2,137.62828828547208,4.551243738397711,0.9999683142633861,4.095161914707022e-13,4.545155297676642,0.9999664466294041,2.9483796821054957e-13,4.547219200631565,0.999967336236367,50
1,3,144.80750455929956,4.909735372505631,0.9991148096925175,3.890828896397358e-13,4.893862166203052,0.9990952656837092,2.8009537176497826e-13,4.895602580338455,0.999100495561421,50
2,0,136.51186063076602,1.6378743904618758,0.9999088676270496,1.1760391319297532e-12,1.6376655556717166,0.9999086464538105,8.399077993064115e-13,1.6376841438324883,0.9999086328029154,50
2,1,59.794664653833024,1.5928930799799808,0.9999069260322563,1.0559131348560683e-07,1.5930209102168595,0.9999067566616375,8.526992782856683e-13,1.5925772155569942,0.9999068856243377,50
2,3,808.5664653755957,1.754298967753738,0.9997986631034407,1.0927766661794284e-12,1.7514977538722996,0.9997934372883929,8.044254777858769e-13,1.7500700329067724,0.9997927001407817,50
3,0,0.001,1.738774756343351,0.999868637790878,1.0755019453657718e-12,1.7387657574771445,0.9998682456184931,7.989617290891112e-13,1.739097701096792,0.9998684962554555,50
3,1,882.3036845762399,1.7187155474622482,0.9999048373548607,4.780234155840864e-07,1.715612291788224,0.9998990336299288,8.116705033327709e-13,1.715409740818408,0.9998991471831937,50
3,2,0.001,1.7944652417193934,0.999825843292623,2.500922704422804e-08,1.8000899972501807,0.9998155203716116,7.620549048922935e-13,1.798328150197057,0.99982061982156,50
